"RR","DET","maxL","L","ENTR","LAM","TT","study","group","trial","condition"
3.47597678652666,95.1551030702045,241,10.2278499072621,2.38462894999615,97.5410488870011,12.461336272681,"Study1","G3","T2","TurnTaking"
4.75006943141302,96.301048626167,198,10.3172614613666,2.48211951200661,98.2004588924637,14.8173581306629,"Study1","G3","T3","Synchronous"
2.57753436237001,94.3702003224837,114,8.21091427892046,2.38192432627215,97.887458664699,12.2287470126323,"Study1","G4","T1","Synchronous"
1.2011853864297,88.5138620245003,93,4.9731932620902,1.87215043658515,94.1843971631206,6.18458933107536,"Study1","G4","T3","TurnTaking"
3.39595542876612,95.9706341029495,208,10.4894468032736,2.54256887044227,97.6449856717393,12.9984261410477,"Study2","G10","T1","Conversation"
3.40710186986807,95.4271509057036,174,10.5867521633568,2.59511363597179,96.8008574442773,11.9025046574208,"Study2","G10","T2","TurnTaking"
2.30022011831288,94.833347186435,249,9.94109959048532,2.46271054270241,97.045964591472,12.630463003029,"Study2","G10","T3","Synchronous"
5.27184602080656,91.8951754751811,86,9.24338817349433,2.12701633919798,92.7235010172737,10.1421317783331,"Study2","G5","T1","Synchronous"
4.79776857043929,94.5724293758294,125,11.0371593340154,2.59436604650071,95.7328615092791,13.4343473884353,"Study2","G5","T2","TurnTaking"
2.22485258688249,92.6354324212842,126,7.75748416810593,2.22787661442905,94.1229547641963,8.37441700435813,"Study2","G5","T3","Conversation"
1.18484948193904,88.9288711030788,107,6.13913334075972,1.99716306648524,92.8677467243271,6.84653818700928,"Study2","G6","T1","TurnTaking"
2.03190252924794,95.2388121494975,97,8.9849977807368,2.34910433805031,97.5714178177575,15.4078751857355,"Study2","G6","T2","Conversation"
1.89548767974114,91.3789451387418,109,6.49559044955905,2.0597125022901,97.8797873735387,12.8070476441864,"Study2","G6","T3","Synchronous"
3.86836951656757,96.1567735877033,282,11.5005024531536,2.6455878418371,97.7388424850492,14.6648127549129,"Study2","G7","T1","Conversation"
4.39578928370063,96.653560430766,435,13.619882324099,2.70944537822223,98.4772699594635,16.069198012775,"Study2","G7","T2","Synchronous"
4.01327325089301,96.4251175509388,316,14.4771475573993,2.69572875882577,97.839539991139,18.2053009484975,"Study2","G7","T3","TurnTaking"
10.8725789710057,96.9791234375989,225,13.8382806815045,2.52628462232381,97.3649318768508,14.6084903171337,"Study2","G8","T1","TurnTaking"
11.1016641464493,97.7392888757237,350,20.0257939308398,2.89307440329808,98.2001453523417,23.3184885290148,"Study2","G8","T2","Synchronous"
5.90499446597362,97.2038477851923,208,16.3802378873854,2.87547882508091,97.8504337014696,20.9943730461966,"Study2","G8","T3","Conversation"
4.01661909513459,94.9767711962834,197,9.01468329267191,2.31030946596684,96.8893395022943,10.2693607789718,"Study2","G9","T1","Synchronous"
2.96743881741422,94.6336529044895,186,9.61879502292076,2.52801646834759,96.7276171331375,11.3441892096116,"Study2","G9","T2","Conversation"
1.87558468628122,93.2456676860347,127,7.69983164983165,2.34641146329253,95.7553516819572,8.85270002827255,"Study2","G9","T3","TurnTaking"
