"RR","DET","maxL","L","ENTR","LAM","TT","study","group","trial","condition"
3.36311761500236,62.3938503391174,28,2.96800427401163,1.33728576759573,75.6378338917695,3.64211032327845,"Study1","G3","T2","TurnTaking"
4.85375832058221,83.8793883887164,44,4.46922348484849,2.04084005592187,90.3270776288677,5.25911913077222,"Study1","G3","T3","Synchronous"
3.40510803825699,70.6028577741769,32,3.4852520110894,1.64837866093866,76.3460263681226,3.73952649379932,"Study1","G4","T1","Synchronous"
3.05083804551114,73.6733295131515,21,3.17176994146955,1.46461377078967,82.041774811519,3.45909327774883,"Study1","G4","T3","TurnTaking"
3.5206918175467,69.9789310102655,26,2.92535448810044,1.31735425198081,83.6927015624922,3.60918034195378,"Study2","G10","T1","Conversation"
3.87891790050195,73.9752347454984,25,3.19298690655063,1.46301993576347,82.7664932164541,3.77587344800561,"Study2","G10","T2","TurnTaking"
3.99130633625975,77.0559651327294,40,3.52927918863444,1.6473200736549,83.7227489609237,4.27643626570916,"Study2","G10","T3","Synchronous"
5.12629100275246,86.6332112106565,40,4.34643966567697,2.006260040328,94.4473521272265,6.01282721372882,"Study2","G5","T1","Synchronous"
3.51585187242746,70.9306559331248,25,3.04526863530268,1.37980573485516,82.2382826333089,3.43368250067682,"Study2","G5","T2","TurnTaking"
3.80174181908987,74.9538736877064,42,3.24831584207896,1.50066996839825,83.3433273676636,3.70468711555811,"Study2","G5","T3","Conversation"
3.83777836698849,71.5537054891227,44,3.28486323208592,1.51300169631537,80.8979625407241,4.00366341783316,"Study2","G6","T1","TurnTaking"
4.53010095143501,77.7254762301079,35,3.28000849451124,1.53859420079305,84.3568909654668,3.79750805959746,"Study2","G6","T2","Conversation"
4.11967009811761,78.3348799196343,37,4.10083340761209,1.90352645550105,88.2218230421494,5.02743480897514,"Study2","G6","T3","Synchronous"
3.91118420129682,76.8060904692943,30,3.33520238303837,1.58084170367586,90.4657074835117,4.55858298314581,"Study2","G7","T1","Conversation"
3.63064274471183,68.2798892962196,33,3.01066979022468,1.38189317183143,89.8096493897285,4.84713641458773,"Study2","G7","T2","Synchronous"
3.13600386073303,72.320949270824,41,3.34868727668168,1.52462140175407,93.3731099579494,5.51766183127912,"Study2","G7","T3","TurnTaking"
3.66425932005084,67.6190202722104,36,3.12058836521048,1.42005868239057,88.0261873313042,4.03820061911348,"Study2","G8","T1","TurnTaking"
3.83839212814491,62.2113794395256,24,2.95044742486946,1.34301304254611,72.0754182542511,3.40233776876793,"Study2","G8","T2","Synchronous"
3.58182242872655,54.7820126802281,28,2.8086799367454,1.22442961738168,79.6161660669261,3.7327273561952,"Study2","G8","T3","Conversation"
3.17382908400181,65.0177635104896,28,2.97384382107657,1.35546154234802,89.4844438059772,4.17985908586471,"Study2","G9","T1","Synchronous"
3.38713738990878,59.4751311136767,21,2.72332456202736,1.15892615996561,80.2037762809793,3.54361003728527,"Study2","G9","T2","Conversation"
3.11373309877136,59.4102341717259,30,2.83126224536354,1.23660300741052,81.0584471902772,3.76176785760958,"Study2","G9","T3","TurnTaking"
